date,deseasoned,rolling_mean,z-score_1000,explanation,event
1978-04-12,335.81914571605546,332.2068517124045,2.08423371301077,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-04-13,336.03901340530035,332.21068004576404,2.204607581981029,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-04-14,335.74383093623766,332.21420614445714,2.0294154215678826,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-04-15,336.1523174376183,332.2181324767534,2.2573856371722405,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-04-22,335.8822469272245,332.23291267905836,2.083739054875013,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-05-03,335.85376249343943,332.254822378544,2.0388758306919272,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-05-12,335.9609364711072,332.2758117889295,2.073245124414483,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-06-02,335.9351178655989,332.32501685008776,2.003660566395257,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-06-13,336.07223261900924,332.3445750839973,2.053806612553434,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-06-30,336.22400206846334,332.37599402827846,2.0970570192297844,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-07-10,336.2265908207335,332.38835214188566,2.0830018352356148,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-07-16,336.3812809301767,332.40784381940523,2.141168510068923,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-07-18,336.26700480888496,332.4114606525725,2.074411034072005,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-07-27,336.19924153342856,332.4331740635423,2.0118143850922743,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-07-30,336.2191567740334,332.4397710270781,2.0140562543342195,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1978-09-09,336.382763434648,332.5136265879579,2.0135733922400973,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1979-01-13,337.13446207677003,332.7354117202233,2.205372045234983,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1979-01-14,337.3616016085871,332.73927331445395,2.3130850807940564,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1979-01-15,338.5502447564845,332.7441198294181,2.8964845389353524,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1979-01-16,336.85191377483596,332.74754299103927,2.0448120546057225,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
1979-01-17,337.33931637107554,332.75136628277954,2.2817160057081067,"Higher-than-expected CO₂; possibly due to warm conditions, drought, or biospheric stress.",False
